Locus_tag,Chrs,Start,End,Strand,ID,Type,Old_locus_tag,Product,ProAccNo
M744_RS08660,CP006471,1715270,1715848,-,gene1745,protein_coding,M744_09085,hypothetical protein,WP_011378108.1
M744_RS08665,CP006471,1716091,1716651,+,gene1746,protein_coding,M744_09090,hypothetical protein,WP_011378109.1
M744_RS08670,CP006471,1716763,1718319,-,gene1747,protein_coding,M744_09095,porin,WP_011378110.1
M744_RS08675,CP006471,1718575,1719984,+,gene1748,protein_coding,M744_09100,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,WP_011378111.1
M744_RS08680,CP006471,1720096,1723509,+,gene1749,protein_coding,,ribonucleoside-triphosphate reductase%2C adenosylcobalamin-dependent,WP_011378112.1
M744_RS08685,CP006471,1723617,1725029,-,gene1750,protein_coding,M744_09115,NAD(P) transhydrogenase subunit beta,WP_011378113.1
M744_RS08690,CP006471,1725029,1725322,-,gene1751,protein_coding,M744_09120,NAD(P) transhydrogenase subunit alpha,WP_011242381.1
M744_RS08695,CP006471,1725319,1726545,-,gene1752,protein_coding,M744_09125,NAD(P) transhydrogenase subunit alpha,WP_011242382.1
M744_RS08700,CP006471,1726682,1727257,+,gene1753,protein_coding,M744_09135,DUF2808 domain-containing protein,WP_011378114.1
M744_RS08705,CP006471,1727305,1727442,+,gene1754,protein_coding,M744_09140,50S ribosomal protein L34,WP_011242384.1
M744_RS08710,CP006471,1727448,1727816,+,gene1755,protein_coding,M744_09145,ribonuclease P protein component,WP_011242385.1
M744_RS08715,CP006471,1727803,1728189,+,gene1756,protein_coding,M744_09150,ribonuclease P,WP_011242386.1
M744_RS08720,CP006471,1728392,1729570,+,gene1757,protein_coding,M744_09155,membrane protein insertase YidC,WP_011242387.1
M744_RS08725,CP006471,1729567,1730073,+,gene1758,protein_coding,M744_09160,hypothetical protein,WP_011242388.1
M744_RS08730,CP006471,1730076,1730582,+,gene1759,protein_coding,M744_09165,DUF177 domain-containing protein,WP_011378115.1
M744_RS08735,CP006471,1730579,1732084,+,gene1760,protein_coding,M744_09170,hypothetical protein,WP_011242391.1
M744_RS08740,CP006471,1732224,1733792,-,gene1761,protein_coding,M744_09175,B12-binding domain-containing radical SAM protein,WP_011242392.1
M744_RS08745,CP006471,1734361,1736832,+,gene1762,protein_coding,M744_09185,U32 family peptidase,WP_011242393.1
M744_RS08750,CP006471,1736905,1737597,+,gene1763,protein_coding,M744_09190,hypothetical protein,WP_011242394.1
M744_RS08755,CP006471,1737625,1738284,-,gene1764,protein_coding,M744_09195,riboflavin synthase,WP_011378116.1
M744_RS08760,CP006471,1738338,1739561,-,gene1765,protein_coding,M744_09200,glycosyl transferase,WP_011242396.1
M744_RS08765,CP006471,1739708,1740190,-,gene1766,protein_coding,M744_09205,hypothetical protein,WP_011242397.1
M744_RS08770,CP006471,1740194,1741492,-,gene1767,protein_coding,M744_09210,hypothetical protein,WP_011378117.1
M744_RS08775,CP006471,1741892,1742611,+,gene1768,protein_coding,M744_09215,hypothetical protein,WP_011242400.1
M744_RS08780,CP006471,1742711,1743352,+,gene1769,protein_coding,M744_09220,hypothetical protein,WP_011242401.1
M744_RS08785,CP006471,1743573,1743908,+,gene1770,protein_coding,M744_09225,cytochrome c6,WP_011242402.1
M744_RS08790,CP006471,1743909,1744808,+,gene1771,protein_coding,M744_09230,tetratricopeptide repeat-containing protein,WP_011242403.1
M744_RS08795,CP006471,1744903,1745412,+,gene1772,protein_coding,M744_09240,hypothetical protein,WP_011242404.1
M744_RS08800,CP006471,1746009,1746731,+,gene1773,protein_coding,M744_09245,hypothetical protein,WP_011242405.1
M744_RS08805,CP006471,1746753,1747292,-,gene1774,protein_coding,M744_09250,hypothetical protein,WP_011242406.1
M744_RS08810,CP006471,1747463,1749097,-,gene1775,protein_coding,M744_09255,porin,WP_039755710.1
M744_RS08815,CP006471,1749325,1750395,+,gene1776,protein_coding,M744_09260,iron-regulated protein A,WP_011242408.1
M744_RS08820,CP006471,1750501,1751757,+,gene1777,protein_coding,M744_09265,thiol oxidoreductase,WP_011378041.1
M744_RS08825,CP006471,1751888,1752145,+,gene1778,protein_coding,M744_09270,hypothetical protein,WP_011242410.1
M744_RS08830,CP006471,1752254,1752874,+,gene1779,protein_coding,M744_09275,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,WP_011242411.1
M744_RS08835,CP006471,1752938,1753504,+,gene1780,protein_coding,M744_09280,YdcF family protein,WP_011378040.1
M744_RS08840,CP006471,1753484,1754161,-,gene1781,protein_coding,M744_09285,1-acyl-sn-glycerol-3-phosphate acyltransferase,WP_011242413.1
M744_RS08845,CP006471,1754130,1755011,-,gene1782,protein_coding,M744_09290,[acyl-carrier-protein] S-malonyltransferase,WP_011242414.1
M744_RS08850,CP006471,1755065,1756072,-,gene1783,protein_coding,M744_09295,3-oxoacyl-ACP synthase III,WP_011242415.1
M744_RS08855,CP006471,1756142,1757182,-,gene1784,protein_coding,M744_09300,phosphate acyltransferase,WP_011242416.1
M744_RS08860,CP006471,1757333,1758067,-,gene1785,protein_coding,M744_09305,DNA-binding response regulator,WP_011378039.1
M744_RS08865,CP006471,1758272,1759708,+,gene1786,protein_coding,M744_09310,DNA repair protein RadA,WP_011378038.1
M744_RS08870,CP006471,1759705,1760166,-,gene1787,protein_coding,M744_09315,hypothetical protein,WP_011242419.1
M744_RS08875,CP006471,1760209,1761009,-,gene1788,protein_coding,M744_09320,phosphate ABC transporter ATP-binding protein,WP_011378037.1
M744_RS08880,CP006471,1761074,1762141,+,gene1789,protein_coding,M744_09325,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,WP_011242421.1
M744_RS08885,CP006471,1762161,1763123,-,gene1790,protein_coding,M744_09330,quinolinate synthase,WP_011242422.1
M744_RS08890,CP006471,1763159,1763977,-,gene1791,protein_coding,M744_09335,carbonic anhydrase,WP_011378036.1
M744_RS08895,CP006471,1764124,1764543,+,gene1792,protein_coding,M744_09340,hypothetical protein,WP_011378035.1
M744_RS08900,CP006471,1764649,1765764,+,gene1793,protein_coding,M744_09345,hypothetical protein,WP_011378034.1
M744_RS08905,CP006471,1765842,1766135,-,gene1794,protein_coding,M744_09350,hypothetical protein,WP_011378033.1
M744_RS08910,CP006471,1766176,1767249,-,gene1795,protein_coding,M744_09355,fructose-bisphosphate aldolase class II,WP_011242426.1
M744_RS08915,CP006471,1767491,1767562,-,gene1796,tRNA,M744_09360,,
M744_RS08920,CP006471,1767633,1768067,-,gene1797,protein_coding,M744_09365,glyoxalase/bleomycin resistance/dioxygenase family protein,WP_011242427.1
M744_RS08925,CP006471,1768055,1768318,+,gene1798,protein_coding,M744_09370,hypothetical protein,WP_039755713.1
M744_RS08930,CP006471,1768315,1769292,+,gene1799,protein_coding,M744_09375,cobalamin biosynthesis protein,WP_011242428.1
M744_RS08935,CP006471,1769373,1770293,+,gene1800,protein_coding,M744_09380,homoserine kinase,WP_011242429.1
M744_RS08940,CP006471,1770436,1772037,+,gene1801,protein_coding,M744_09385,NAD(P)H-quinone oxidoreductase chain 4 1,WP_011242430.1
M744_RS08945,CP006471,1772176,1772670,+,gene1802,protein_coding,M744_09390,ATP-binding protein,WP_011242431.1
M744_RS08950,CP006471,1772902,1773180,-,gene1803,protein_coding,M744_09400,hypothetical protein,WP_011242433.1
M744_RS08955,CP006471,1773261,1773707,+,gene1804,protein_coding,M744_09405,hypothetical protein,WP_011378032.1
M744_RS08960,CP006471,1773743,1775491,+,gene1805,protein_coding,M744_09410,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,WP_011242435.1
M744_RS08965,CP006471,1775612,1776211,+,gene1806,protein_coding,M744_09415,hypothetical protein,WP_011242436.1
M744_RS08970,CP006471,1776425,1777483,-,gene1807,protein_coding,M744_09420,N-acetyl-gamma-glutamyl-phosphate reductase,WP_011242437.1
M744_RS08975,CP006471,1777756,1779441,+,gene1808,protein_coding,M744_09430,bifunctional 3%2C4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II,WP_011378031.1
M744_RS08980,CP006471,1779480,1779917,-,gene1809,protein_coding,M744_09435,peptidyl-prolyl cis-trans isomerase,WP_011242439.1
M744_RS08985,CP006471,1780215,1781150,+,gene1810,protein_coding,M744_09440,hypothetical protein,WP_011378030.1
M744_RS08990,CP006471,1781199,1781609,+,gene1811,protein_coding,M744_09445,hypothetical protein,WP_011242441.1
ncRNA,CP006471,1781668,1781849,-,gene1812,ssrS,M744_RS13765,,
M744_RS08995,CP006471,1781872,1783059,-,gene1813,protein_coding,M744_09450,5-(carboxyamino)imidazole ribonucleotide synthase,WP_011242442.1
M744_RS09000,CP006471,1783161,1783490,-,gene1814,protein_coding,M744_09455,ribulose bisphosphate carboxylase small subunit,WP_039755714.1
protein_coding,CP006471,1783587,1785005,-,gene1815,rbcL,M744_RS09005,ribulose bisphosphate carboxylase large chain,WP_011242444.1
M744_RS09010,CP006471,1785396,1786226,-,gene1816,protein_coding,M744_09465,BMC domain-containing protein,WP_011242445.1
M744_RS09015,CP006471,1786268,1786753,-,gene1817,protein_coding,M744_09470,hypothetical protein,WP_011242446.1
M744_RS09020,CP006471,1786788,1788407,-,gene1818,protein_coding,M744_09475,carbon dioxide concentrating mechanism protein CcmM,WP_011378029.1
M744_RS09025,CP006471,1788473,1788772,-,gene1819,protein_coding,M744_09480,carbon dioxide concentrating mechanism protein CcmL,WP_011242448.1
M744_RS09030,CP006471,1788919,1789227,-,gene1820,protein_coding,M744_09485,carbon dioxide-concentrating mechanism protein CcmK,WP_011242449.1
M744_RS09035,CP006471,1789557,1790957,-,gene1821,protein_coding,M744_09490,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N,WP_011378028.1
M744_RS09040,CP006471,1791021,1791881,-,gene1822,protein_coding,M744_09495,ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein,WP_011242451.1
M744_RS09045,CP006471,1792280,1792486,+,gene1823,protein_coding,M744_09500,hypothetical protein,WP_011378027.1
M744_RS09050,CP006471,1792483,1793466,-,gene1824,protein_coding,M744_09505,hypothetical protein,WP_011242452.1
M744_RS09055,CP006471,1793471,1796122,-,gene1825,protein_coding,M744_09510,DNA topoisomerase 1,WP_011242453.1
M744_RS09060,CP006471,1796371,1797936,+,gene1826,protein_coding,M744_09515,NAD(P)H-quinone oxidoreductase subunit 2,WP_011242454.1
M744_RS09065,CP006471,1798032,1798757,+,gene1827,protein_coding,M744_09520,ABC transporter ATP-binding protein,WP_011242455.1
M744_RS09070,CP006471,1798770,1799525,-,gene1828,protein_coding,M744_09525,sulfite exporter TauE/SafE family protein,WP_011378026.1
M744_RS09075,CP006471,1799649,1800098,+,gene1829,protein_coding,M744_09530,YbjN domain-containing protein,WP_011242457.1
M744_RS09080,CP006471,1800108,1800815,+,gene1830,protein_coding,M744_09535,lipoate--protein ligase family protein,WP_011242458.1
M744_RS09085,CP006471,1800895,1802517,+,gene1831,protein_coding,M744_09540,2-isopropylmalate synthase,WP_011378025.1
M744_RS09090,CP006471,1802597,1803619,-,gene1832,protein_coding,M744_09545,Fe(3+) ABC transporter substrate-binding protein,WP_011242460.1
M744_RS09095,CP006471,1803911,1804546,-,gene1833,protein_coding,M744_09550,class I SAM-dependent methyltransferase,WP_011242461.1
M744_RS09100,CP006471,1804778,1806409,-,gene1834,protein_coding,M744_09555,iron ABC transporter permease,WP_011242462.1
M744_RS09105,CP006471,1806557,1807663,+,gene1835,protein_coding,M744_09560,ABC transporter ATP-binding protein,WP_011378023.1
M744_RS09110,CP006471,1807679,1808206,-,gene1836,protein_coding,M744_09565,DUF192 domain-containing protein,WP_011378022.1
M744_RS09115,CP006471,1808382,1809071,+,gene1837,protein_coding,M744_09575,DNA-binding response regulator,WP_011378021.1
M744_RS09120,CP006471,1809097,1809873,+,gene1838,protein_coding,M744_09580,hydroxyacylglutathione hydrolase,WP_011378020.1
M744_RS09125,CP006471,1809890,1811149,-,gene1839,protein_coding,M744_09585,hypothetical protein,WP_011242467.1
M744_RS09130,CP006471,1811362,1811739,+,gene1840,protein_coding,M744_09590,VOC family protein,WP_011242468.1
M744_RS09135,CP006471,1812090,1813211,+,gene1841,protein_coding,M744_09595,endo-1%2C4-beta-xylanase,WP_011378019.1
M744_RS09140,CP006471,1813144,1814379,+,gene1842,protein_coding,M744_09600,hypothetical protein,WP_039755718.1
M744_RS09145,CP006471,1814397,1816619,+,gene1843,protein_coding,M744_09605,UDP-glucose-beta-D-glucan glucosyltransferase,WP_011242471.1
M744_RS09150,CP006471,1816947,1818317,-,gene1844,protein_coding,M744_09610,hypothetical protein,WP_011242472.1
M744_RS09155,CP006471,1818466,1818723,+,gene1845,protein_coding,M744_09615,hypothetical protein,WP_011242473.1
M744_RS09160,CP006471,1818741,1819160,-,gene1846,protein_coding,M744_09620,hypothetical protein,WP_011242474.1
M744_RS09165,CP006471,1819157,1820920,-,gene1847,protein_coding,M744_09625,peptidase M61,WP_011242475.1
M744_RS09170,CP006471,1821048,1821962,-,gene1848,protein_coding,M744_09630,histone deacetylase,WP_011378016.1
M744_RS09175,CP006471,1822483,1826550,+,gene1849,protein_coding,M744_09635,alkaline phosphatase,WP_011242477.1
M744_RS09180,CP006471,1826774,1828312,-,gene1850,protein_coding,M744_09640,ATP-binding protein,WP_011242478.1
M744_RS09185,CP006471,1828400,1828744,+,gene1851,protein_coding,M744_09645,histidine triad nucleotide-binding protein,WP_011378015.1
M744_RS09190,CP006471,1828846,1829928,+,gene1852,protein_coding,M744_09650,photosystem I reaction center subunit IX,WP_011242480.1
M744_RS09195,CP006471,1830094,1830807,-,gene1853,protein_coding,M744_09655,carbonic anhydrase,WP_011242481.1
M744_RS09200,CP006471,1830786,1831613,-,gene1854,protein_coding,M744_09660,TIGR00268 family protein,WP_011242482.1
M744_RS09205,CP006471,1831706,1832839,+,gene1855,protein_coding,M744_09665,hypothetical protein,WP_011378014.1
M744_RS09210,CP006471,1832960,1833181,+,gene1856,protein_coding,M744_09670,hypothetical protein,WP_011378013.1
M744_RS09215,CP006471,1833183,1834028,-,gene1857,protein_coding,M744_09675,META domain-containing protein,WP_011378012.1
M744_RS09220,CP006471,1834156,1834668,+,gene1858,protein_coding,M744_09680,inorganic pyrophosphatase,WP_011242486.1
M744_RS09225,CP006471,1834755,1837424,-,gene1859,protein_coding,M744_09685,diguanylate cyclase,WP_011378011.1
M744_RS09230,CP006471,1837856,1839781,-,gene1860,protein_coding,M744_09690,ABC transporter ATP-binding protein,WP_011378010.1
M744_RS09235,CP006471,1839863,1841587,-,gene1861,protein_coding,M744_09695,solute carrier 26 family protein,WP_011242490.1
M744_RS09240,CP006471,1841630,1842991,-,gene1862,protein_coding,M744_09700,acetyl-CoA carboxylase biotin carboxylase subunit,WP_011242491.1
M744_RS09245,CP006471,1843147,1843228,+,gene1863,tRNA,M744_09705,,
M744_RS09250,CP006471,1843299,1844540,+,gene1864,protein_coding,M744_09710,hypothetical protein,WP_011242492.1
M744_RS09255,CP006471,1844587,1846881,-,gene1865,protein_coding,M744_09715,bifunctional (p)ppGpp synthetase/guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase,WP_011242493.1
M744_RS09260,CP006471,1847164,1847760,+,gene1866,protein_coding,,hypothetical protein,WP_011378008.1
M744_RS09265,CP006471,1847960,1848481,+,gene1867,protein_coding,M744_09730,NADPH-dependent oxidoreductase,WP_011242495.1
M744_RS09270,CP006471,1848552,1850183,+,gene1868,protein_coding,M744_09735,RluA family pseudouridine synthase,WP_011242496.1
M744_RS09275,CP006471,1850484,1851179,+,gene1869,protein_coding,M744_09740,hydantoin utilization protein A,WP_011242497.1
M744_RS09280,CP006471,1851334,1854906,-,gene1870,protein_coding,M744_09745,methionine synthase,WP_011378007.1
M744_RS09285,CP006471,1854939,1856261,+,gene1871,protein_coding,M744_09750,magnesium and cobalt transport protein CorA,WP_011242499.1
M744_RS09290,CP006471,1856264,1856494,-,gene1872,protein_coding,M744_09755,hypothetical protein,WP_039755719.1
M744_RS09295,CP006471,1856629,1857231,-,gene1873,protein_coding,M744_09760,recombination protein RecR,WP_039755970.1
M744_RS09300,CP006471,1857474,1857809,-,gene1874,protein_coding,M744_09765,SH3 domain-containing protein,WP_011242501.1
M744_RS09305,CP006471,1857837,1859204,-,gene1875,protein_coding,,cytochrome P450,WP_011242502.1
M744_RS09310,CP006471,1859263,1860174,+,gene1876,protein_coding,M744_09780,2-carboxy-1%2C4-naphthoquinone phytyltransferase,WP_011242503.1
M744_RS09315,CP006471,1860406,1861104,+,gene1877,protein_coding,M744_09785,hypothetical protein,WP_011378003.1
M744_RS09320,CP006471,1861363,1861779,-,gene1878,protein_coding,M744_09795,hypothetical protein,WP_011242505.1
M744_RS09325,CP006471,1861826,1862026,-,gene1879,protein_coding,M744_09800,hypothetical protein,WP_039755720.1
M744_RS09330,CP006471,1862309,1862794,-,gene1880,protein_coding,M744_09805,hypothetical protein,WP_011242506.1
M744_RS09335,CP006471,1862878,1863381,-,gene1881,protein_coding,M744_09810,pentapeptide repeat-containing protein,WP_011242507.1
M744_RS09340,CP006471,1863414,1864724,-,gene1882,protein_coding,M744_09815,LytR family transcriptional regulator,WP_011242508.1
M744_RS09345,CP006471,1864967,1866172,+,gene1883,protein_coding,M744_09820,hypothetical protein,WP_011242509.1
M744_RS09350,CP006471,1866588,1867379,+,gene1884,protein_coding,M744_09825,hypothetical protein,WP_011378001.1
M744_RS09355,CP006471,1867696,1873119,+,gene1885,protein_coding,M744_09830,multi-sensor signal transduction histidine kinase,WP_011378000.1
M744_RS09360,CP006471,1873116,1873571,+,gene1886,protein_coding,M744_09835,response regulator,WP_011242513.1
M744_RS09365,CP006471,1873568,1876357,+,gene1887,protein_coding,M744_09840,two-component system response regulator,WP_011242514.1
M744_RS09370,CP006471,1876383,1877879,-,gene1888,protein_coding,M744_09845,MFS transporter,WP_011242515.1
M744_RS09375,CP006471,1878386,1879054,-,gene1889,protein_coding,M744_09850,DUF3120 domain-containing protein,WP_011242516.1
M744_RS09380,CP006471,1879304,1881274,-,gene1890,protein_coding,M744_09855,acetate--CoA ligase,WP_011242517.1
M744_RS09385,CP006471,1881370,1882080,+,gene1891,protein_coding,M744_09860,HAD family hydrolase,WP_011377999.1
M744_RS09390,CP006471,1882105,1882416,+,gene1892,protein_coding,,hypothetical protein,WP_049749329.1
M744_RS09395,CP006471,1882413,1883099,+,gene1893,protein_coding,M744_09870,hypothetical protein,WP_011242519.1
M744_RS09400,CP006471,1883135,1883434,+,gene1894,protein_coding,M744_09875,hypothetical protein,WP_011377997.1
M744_RS09405,CP006471,1883452,1884447,+,gene1895,protein_coding,M744_09880,2-hydroxyacid dehydrogenase,WP_011242520.1
M744_RS09410,CP006471,1884541,1884852,-,gene1896,protein_coding,M744_09885,NADH-quinone oxidoreductase subunit NuoK,WP_011242521.1
